"Main","Day","TotalVolume"
" ADELAIDE ST E ","Wednesday",71537
" ADELAIDE ST W ","Wednesday",91862
" ALBION RD ","Wednesday",338901
" ALLIANCE AVE ","Thursday",9278
" ALNESS ST ","Tuesday",32607
" ANNETTE ST ","Tuesday",53059
" ASHTONBEE RD ","Monday",8370
" ATTWELL DR ","Monday",6998
" AVENUE RD ","Wednesday",671604
" BAMBURGH CRCL ","Monday",4460
" BATHURST ST ","Wednesday",1072747
" BAY ST ","Wednesday",634384
" BAYVIEW AVE ","Wednesday",681335
" BEECROFT RD ","Wednesday",34926
" BELFIELD RD ","Wednesday",7702
" BELLAMY RD N ","Wednesday",36815
" BERMONDSEY RD ","Tuesday",19923
" BIRCHMOUNT RD ","Wednesday",304675
" BLACK CREEK DR ","Wednesday",128018
" BLOOR ST ","Thursday",37733
" BLOOR ST E ","Thursday",144597
" BLOOR ST W ","Wednesday",873687
" BONIS AVE ","Thursday",6411
" BREMNER BLVD ","Wednesday",15527
" BRENTCLIFFE RD ","Wednesday",11551
" BRENYON WAY ","Thursday",2831
" BRIDLETOWNE CRCL ","Wednesday",5659
" BRIMLEY RD ","Wednesday",329064
" BRITISH COLUMBIA RD ","Tuesday",5861
" BROADVIEW AVE ","Wednesday",100840
" BROWNS LINE ","Tuesday",52699
" BURNHAMTHORPE RD ","Wednesday",199632
" CALEDONIA RD ","Wednesday",78158
" CARLINGVIEW DR ","Wednesday",28417
" CARLTON ST ","Tuesday",21392
" CASTLEFIELD AVE ","Monday",20314
" CHAPLIN CRES ","Monday",8872
" CHERRY ST ","Monday",28616
" CHESSWOOD DR ","Thursday",10812
" CHRISTIE ST ","Monday",8745
" CHURCH ST ","Wednesday",280207
" CLONMORE DR ","Wednesday",12124
" COLLEGE ST ","Tuesday",269627
" COMMISSIONERS ST ","Wednesday",10108
" COMSTOCK RD ","Monday",7062
" CONSILIUM PL ","Thursday",9442
" CONSUMERS RD ","Wednesday",10305
" CORPORATE DR ","Wednesday",14139
" COSBURN AVE ","Thursday",8259
" COXWELL AVE ","Thursday",97807
" CUMMER AVE ","Wednesday",33545
